part,description,shape,color,coating,mfg
1-0263-5027,SF Lens Ver ANSI HC Lg MM,SF MTS Lg,Ver,HC,Revision VI20197
1-0263-5028,SF Lens 30-Mocha ANSI HC Lg MM,SF MTS Lg,Mocha,HC,Revision VI20197
1-0263-9001,SF Lens Clr ANSI HC Lg,SF MTS Lg,Clr,HC,Revision VI20197
1-0263-9002,SF Lens Smk ANSI HC Lg,SF MTS Lg,Smk,HC,Revision VI20197
1-0263-9003,SF Lens Yel ANSI HC Lg,SF MTS Lg,Yel,HC,Revision VI20197
1-0600-5001,AB Outsert Lens Smk HC S/M,Air Boss Outsert,Clr,HC,Revision VI20197
1-0600-5001,AB Outsert Lens Smk HC S/M,AB Outsert,Smk,HC,Revision VI20197
1-0600-5002,AB Outsert Lens Yel HC S/M,AB Outsert,Yel,HC,Revision VI20197
1-0601-5001,AB Outsert Lens Smk HC L/XL,AB Outsert,Smk,HC,Revision VI20197
1-0601-5002,AB Outsert Lens Yel HC L/XL,AB Outsert,Yel,HC,Revision VI20197
1-0601-5003,AB Outsert Lens Vital HC L/XL,AB Outsert,V6-10,HC,Revision VI20197
1-0714-0100,Base 5.5 Cyl Blank Clr AF ( Obsolete),Base 5.5,Clr,AF,Revision VI20197
1-0714-5001,Base 5.5 Cyl Blank Clr AF ( FSI Visgard AF),Base 5.5,Clr,AF,Revision VI20197
1-0714-5002,Base 5.5 Cyl Blank Smk AF,Base 5.5,Smk,AF,Revision VI20197
1-0714-5003,Base 5.5 Cyl Blank Yel AF,Base 5.5,Yel,AF,Revision VI20197
1-0714-5004,Base 5.5 Cyl Blank FT-2 AF,Base 5.5,FT-2,AF,Revision VI20197
1-0714-5011,Base 5.5 Cyl Blank NG AF,Base 5.5,NG,AF,Revision VI20197
1-0714-5014,Base 5.5 Cyl Blank Ver AF,Base 5.5,Ver,AF,Revision VI20197
1-0714-5017,Base 5.5 Cyl Blank E2-5 Lsr AF (obsolete),Base 5.5,E2-5,AF,Revision VI20197
1-0714-5022,Base 5.5 Cyl Blank Clr Gel AF,Base 5.5,Clr,AF,Revision VI20197
1-0714-5023,Base 5.5 Cyl Blank Ver Gel AF,Base 5.5,Ver,AF,Revision VI20197
1-0714-5024,Base 5.5 Cyl Blank NG Gel AF,Base 5.5,NG,AF,Revision VI20197
1-0714-5028,Base 5.5 Cyl Blank Clr AF Int'l,Base 5.5,CLR UV400,AF,Revision VI20197
1-0714-5029,Base 5.5 Cyl Blank Clr AF US,Base 5.5,CLR UV380,AF,Revision VI20197
1-0714-5030,Base 5.5 Cyl Blank E2-5 AF (Visgard Plus AF),Base 5.5,E2-5,AF,Revision VI20197
1-0714-5031,Base 5.5 Cyl Blank VER AF,Base 5.5,Ver,AF,Revision VI20197
1-0714-5032,Base 5.5 Cyl Blank YEL AF,Base 5.5,Yel,AF,Revision VI20197
1-0714-5032,Base 5.5 Cyl Blank YEL AF,Base 5.5,Yel,AF,Revision VI20198
1-0714-5033,Base 5.5 Cyl Blank Smk AF,Base 5.5,Smk,AF,Revision VI20197
1-0714-5034,Base 5.5 Cyl Blank NG AF,Base 5.5,NG,AF,Revision VI20197
1-0714-5037,Base 5.5 Cyl Blank Smk AF Intl,Base 5.5,Smk Int,AF,Revision VI20197
